timestamp_utc,total_vehicles_detected,vehicles_in_lane_1,vehicles_in_lane_2,vehicles_in_line,on_entrance_road
2026-06-25T20:20:14.676071+00:00,0,0,0,0,
2026-06-25T20:27:24.158164+00:00,0,0,0,0,
2026-06-25T20:28:23.897939+00:00,1,0,0,0,
2026-06-25T20:29:20.881007+00:00,0,0,0,0,
2026-06-25T20:30:24.301060+00:00,3,1,1,2,
2026-06-25T20:33:26.043997+00:00,4,0,0,0,
2026-06-25T20:35:29.954029+00:00,7,0,4,4,
2026-06-25T20:37:09.411194+00:00,5,1,1,2,
2026-06-25T20:40:53.353207+00:00,3,1,2,3,
2026-06-25T20:42:03.600681+00:00,1,0,0,0,
2026-06-25T20:43:36.802822+00:00,1,0,0,0,
2026-06-25T20:44:41.447574+00:00,0,0,0,0,
2026-06-25T20:45:53.178475+00:00,4,0,1,1,
2026-06-25T20:47:05.548213+00:00,3,0,1,1,
2026-06-25T20:48:17.748655+00:00,2,0,0,0,
2026-06-25T20:49:29.838751+00:00,2,1,1,2,
2026-06-25T20:50:45.461993+00:00,2,0,1,1,
2026-06-25T20:53:29.591577+00:00,1,1,0,1,
2026-06-25T20:54:53.385979+00:00,0,0,0,0,
2026-06-25T20:56:28.571624+00:00,1,0,0,0,
2026-06-25T20:57:30.214817+00:00,2,0,0,0,
2026-06-25T21:01:25.757937+00:00,2,1,1,2,
2026-06-26T18:31:44.835543+00:00,2,1,0,1,
2026-06-26T18:45:36.557502+00:00,3,0,1,1,
2026-06-26T19:00:38.030788+00:00,3,0,3,3,
2026-06-26T19:15:22.657165+00:00,2,1,1,2,
2026-06-26T19:30:27.864764+00:00,1,0,1,1,
2026-06-26T19:45:34.794986+00:00,0,0,0,0,
2026-06-26T20:00:27.330340+00:00,2,1,1,2,
2026-06-26T20:15:24.316551+00:00,4,1,3,4,
2026-06-26T20:30:31.940907+00:00,1,0,1,1,
2026-06-26T20:45:25.222572+00:00,3,0,3,3,
2026-06-26T21:00:36.777576+00:00,0,0,0,0,
2026-06-26T21:15:22.711853+00:00,1,1,0,1,
2026-06-26T21:30:41.852857+00:00,0,0,0,0,
2026-06-26T21:45:27.713546+00:00,0,0,0,0,
2026-06-26T22:00:29.795631+00:00,0,0,0,0,
2026-06-26T22:15:23.868294+00:00,1,1,0,1,
2026-06-26T22:30:23.454884+00:00,1,1,0,1,
2026-06-26T22:45:22.588938+00:00,1,0,1,1,
2026-06-26T23:00:37.606127+00:00,1,0,1,1,
2026-06-26T23:15:22.004505+00:00,2,0,2,2,
2026-06-26T23:30:31.690920+00:00,12,5,6,11,
2026-06-26T23:45:23.445035+00:00,7,4,2,6,
2026-06-27T00:00:35.431908+00:00,1,1,0,1,
2026-06-27T00:15:20.779308+00:00,0,0,0,0,
2026-06-27T00:30:32.968399+00:00,3,0,3,3,
2026-06-27T00:45:21.746015+00:00,1,1,0,1,
2026-06-27T01:00:33.506621+00:00,1,0,1,1,
2026-06-27T01:15:23.416304+00:00,0,0,0,0,
2026-06-27T01:30:31.282771+00:00,2,1,1,2,
2026-06-27T01:45:23.343832+00:00,11,9,0,9,
2026-06-27T02:00:41.183240+00:00,7,7,0,7,
2026-06-27T02:15:22.278726+00:00,8,8,0,8,
2026-06-27T02:30:32.024605+00:00,4,0,0,0,
2026-06-27T02:45:22.413807+00:00,0,0,0,0,
2026-06-27T03:00:34.553077+00:00,0,0,0,0,
2026-06-27T03:15:23.269514+00:00,1,0,1,1,
2026-06-27T03:30:31.292875+00:00,1,0,0,0,
2026-06-27T03:45:22.795794+00:00,0,0,0,0,
2026-06-27T04:00:35.569225+00:00,1,1,0,1,
2026-06-27T04:15:22.620563+00:00,0,0,0,0,
2026-06-27T04:30:22.398229+00:00,0,0,0,0,
2026-06-27T04:45:23.277624+00:00,0,0,0,0,
2026-06-27T05:00:23.415156+00:00,0,0,0,0,
2026-06-27T05:15:21.528689+00:00,0,0,0,0,
2026-06-27T05:30:21.041026+00:00,0,0,0,0,
2026-06-27T05:45:21.533746+00:00,0,0,0,0,
2026-06-27T06:00:25.236370+00:00,0,0,0,0,
2026-06-27T06:15:23.332125+00:00,0,0,0,0,
2026-06-27T06:30:40.947288+00:00,0,0,0,0,
2026-06-27T06:45:26.347063+00:00,0,0,0,0,
2026-06-27T07:00:44.949951+00:00,0,0,0,0,
2026-06-27T07:15:25.998081+00:00,0,0,0,0,
2026-06-27T07:30:39.030541+00:00,0,0,0,0,
2026-06-27T07:45:26.348876+00:00,0,0,0,0,
2026-06-27T08:00:43.065531+00:00,0,0,0,0,
2026-06-27T08:15:28.705333+00:00,0,0,0,0,
2026-06-27T08:30:34.812900+00:00,0,0,0,0,
2026-06-27T08:45:24.870074+00:00,0,0,0,0,
2026-06-27T09:00:32.283986+00:00,0,0,0,0,
2026-06-27T09:15:25.109110+00:00,0,0,0,0,
2026-06-27T09:30:27.850775+00:00,0,0,0,0,
2026-06-27T09:45:23.633516+00:00,0,0,0,0,
2026-06-27T10:00:29.526470+00:00,0,0,0,0,
2026-06-27T10:15:22.357100+00:00,0,0,0,0,
2026-06-27T10:30:26.411543+00:00,0,0,0,0,
2026-06-27T10:45:22.866243+00:00,0,0,0,0,
2026-06-27T11:00:41.364318+00:00,2,0,1,1,
2026-06-27T11:15:22.669413+00:00,0,0,0,0,
2026-06-27T11:30:29.319450+00:00,0,0,0,0,
2026-06-27T11:45:24.496169+00:00,0,0,0,0,
2026-06-27T12:00:28.027878+00:00,1,0,1,1,
2026-06-27T12:15:23.848809+00:00,0,0,0,0,
