timestamp_utc,spot_id,spot_label,status,status_since_utc,track_id,vehicle_type,confidence,dwell_seconds,bbox_x1,bbox_y1,bbox_x2,bbox_y2
2026-07-07T04:46:28.566552+00:00,spot_1,Spot 1,Empty,2026-07-07T02:01:44.624051+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_2,Spot 2,Empty,2026-07-07T00:09:48.082591+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_3,Spot 3,Empty,2026-07-07T02:01:44.624051+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_4,Spot 4,Empty,2026-07-07T04:44:20.539891+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_5,Spot 5,Occupied,2026-07-07T04:45:45.682512+00:00,1724,car,0.5921393036842346,517,319.89581298828125,327.68524169921875,401.1893310546875,371.59295654296875
2026-07-07T04:46:28.566552+00:00,spot_6,Spot 6,Empty,2026-07-07T00:38:29.619498+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_7,Spot 7,Empty,2026-07-07T00:49:48.697982+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_8,Spot 8,Empty,2026-07-06T23:55:28.031870+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_9,Spot 9,Empty,2026-07-06T21:51:24.307304+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_10,Spot 10,Empty,2026-07-07T01:24:20.249043+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_11,Spot 11,Empty,2026-07-07T01:27:43.366543+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_12,Spot 12,Empty,2026-07-07T03:07:48.710707+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_13,Spot 13,Empty,2026-07-07T03:24:28.772650+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_14,Spot 14,Empty,2026-07-07T03:15:48.309071+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_15,Spot 15,Empty,2026-07-07T03:27:47.323677+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_16,Spot 16,Empty,2026-07-06T20:39:26.349264+00:00,,,,,,,,
2026-07-07T04:46:28.566552+00:00,spot_17,Spot 17,Empty,2026-07-05T22:16:16.987682+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_1,Spot 1,Empty,2026-07-07T02:01:44.624051+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_2,Spot 2,Empty,2026-07-07T00:09:48.082591+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_3,Spot 3,Empty,2026-07-07T02:01:44.624051+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_4,Spot 4,Empty,2026-07-07T04:44:20.539891+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_5,Spot 5,Occupied,2026-07-07T04:47:28.864119+00:00,1726,truck,0.3635409474372864,0,319.9993896484375,328.34271240234375,401.033935546875,371.75701904296875
2026-07-07T04:47:28.864119+00:00,spot_6,Spot 6,Empty,2026-07-07T00:38:29.619498+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_7,Spot 7,Empty,2026-07-07T00:49:48.697982+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_8,Spot 8,Empty,2026-07-06T23:55:28.031870+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_9,Spot 9,Empty,2026-07-06T21:51:24.307304+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_10,Spot 10,Empty,2026-07-07T01:24:20.249043+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_11,Spot 11,Empty,2026-07-07T01:27:43.366543+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_12,Spot 12,Empty,2026-07-07T03:07:48.710707+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_13,Spot 13,Empty,2026-07-07T03:24:28.772650+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_14,Spot 14,Empty,2026-07-07T03:15:48.309071+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_15,Spot 15,Empty,2026-07-07T03:27:47.323677+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_16,Spot 16,Empty,2026-07-06T20:39:26.349264+00:00,,,,,,,,
2026-07-07T04:47:28.864119+00:00,spot_17,Spot 17,Empty,2026-07-05T22:16:16.987682+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_1,Spot 1,Empty,2026-07-07T02:01:44.624051+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_2,Spot 2,Empty,2026-07-07T00:09:48.082591+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_3,Spot 3,Empty,2026-07-07T02:01:44.624051+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_4,Spot 4,Empty,2026-07-07T04:44:20.539891+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_5,Spot 5,Occupied,2026-07-07T04:48:21.477614+00:00,1724,car,0.6341318488121033,632,319.81744384765625,328.0461730957031,400.08441162109375,372.5077209472656
2026-07-07T04:48:21.477614+00:00,spot_6,Spot 6,Empty,2026-07-07T00:38:29.619498+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_7,Spot 7,Empty,2026-07-07T00:49:48.697982+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_8,Spot 8,Empty,2026-07-06T23:55:28.031870+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_9,Spot 9,Empty,2026-07-06T21:51:24.307304+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_10,Spot 10,Empty,2026-07-07T01:24:20.249043+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_11,Spot 11,Empty,2026-07-07T01:27:43.366543+00:00,,,,,,,,
2026-07-07T04:48:21.477614+00:00,spot_12,Spot 12,Empty,2026-07-07T03:07:48.710707+00:00,,,,,,,,
